"m","d","surname","firstName","start","end","tipoElezione","coverage","lista","procl"
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307118_20180309","http://dati.camera.it/ocd/deputato.rdf/d307118_18","SODANO","MICHELE","20180309","20221012","maggioritario","SICILIA 1 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307118_20180309","http://dati.camera.it/ocd/deputato.rdf/d307118_18","SODANO","MICHELE","20180309","20221012","maggioritario","SICILIA 1 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307123_20180309","http://dati.camera.it/ocd/deputato.rdf/d307123_18","SURIANO","SIMONA","20180309","20221012","maggioritario","SICILIA 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307123_20180309","http://dati.camera.it/ocd/deputato.rdf/d307123_18","SURIANO","SIMONA","20180309","20221012","maggioritario","SICILIA 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_305792_20180309","http://dati.camera.it/ocd/deputato.rdf/d305792_18","TERZONI","PATRIZIA","20180309","20221012","maggioritario","MARCHE - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307484_20180309","http://dati.camera.it/ocd/deputato.rdf/d307484_18","TIRAMANI","PAOLO","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307484_20180309","http://dati.camera.it/ocd/deputato.rdf/d307484_18","TIRAMANI","PAOLO","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_302872_20180309","http://dati.camera.it/ocd/deputato.rdf/d302872_18","TOCCAFONDI","GABRIELE","20180309","20221012","maggioritario","TOSCANA - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_301448_20180309","http://dati.camera.it/ocd/deputato.rdf/d301448_18","TONDO","RENZO","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307132_20180309","http://dati.camera.it/ocd/deputato.rdf/d307132_18","TRAVERSI","ROBERTO","20180309","20221012","maggioritario","LIGURIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307105_20180309","http://dati.camera.it/ocd/deputato.rdf/d307105_18","TRIPODI","ELISA","20180309","20221012","maggioritario","VALLE D'AOSTA",,
